pathway_raw	pathway	logFC	p_value	FDR	neglog10p	direction
HALLMARK_ADIPOGENESIS	ADIPOGENESIS	-0.11771725617677568	0.00891703053396259	0.01438230731284289	2.0497797462314393	Suppressed in tumor
HALLMARK_ALLOGRAFT_REJECTION	ALLOGRAFT_REJECTION	-0.1808984345204375	0.0037551226296219	0.00670557612432483	2.4253758758373105	Suppressed in tumor
HALLMARK_ANDROGEN_RESPONSE	ANDROGEN_RESPONSE	-0.07879722220656607	0.0702496114852887	0.10330825218424808	1.1533560732771435	Not FDR-significant
HALLMARK_ANGIOGENESIS	ANGIOGENESIS	0.01467408080044405	0.8204722577314648	0.8372165895219029	0.08593609897143666	Not FDR-significant
HALLMARK_APICAL_JUNCTION	APICAL_JUNCTION	0.05637104404025151	0.13198595390304332	0.18855136271863332	0.8794722844530981	Not FDR-significant
HALLMARK_APICAL_SURFACE	APICAL_SURFACE	-0.16938320782079802	3.7380475615511102e-6	9.836967267239766e-6	5.427355177117756	Suppressed in tumor
HALLMARK_APOPTOSIS	APOPTOSIS	-0.06943720442536316	0.1461262291831706	0.20295309608773693	0.8352718226207074	Not FDR-significant
HALLMARK_BILE_ACID_METABOLISM	BILE_ACID_METABOLISM	-0.28762075928283215	6.413376761162295e-7	2.137792253720765e-6	6.192913246206649	Suppressed in tumor
HALLMARK_CHOLESTEROL_HOMEOSTASIS	CHOLESTEROL_HOMEOSTASIS	-0.02373798212615318	0.6444865823219786	0.6856240237467858	0.19078611986865915	Not FDR-significant
HALLMARK_COAGULATION	COAGULATION	-0.2758742624476668	4.315257595568158e-8	1.961480725258254e-7	7.36499327434166	Suppressed in tumor
HALLMARK_COMPLEMENT	COMPLEMENT	-0.13629241920352303	0.00503567569924241	0.00868219948145243	2.2979422465078922	Suppressed in tumor
HALLMARK_DNA_REPAIR	DNA_REPAIR	0.4313177642438432	2.1024285225951792e-15	3.504047537658632e-14	14.677278760224542	Activated in tumor
HALLMARK_E2F_TARGETS	E2F_TARGETS	0.6337492445467892	1.988067367318064e-18	9.940336836590319e-17	17.701568903259236	Activated in tumor
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	EPITHELIAL_MESENCHYMAL_TRANSITION	-0.07174142085355326	0.25779368839628264	0.31438254682473493	0.5887277197530636	Not FDR-significant
HALLMARK_ESTROGEN_RESPONSE_EARLY	ESTROGEN_RESPONSE_EARLY	-0.142313851788009	4.711339711381161e-5	1.1217475503288478e-4	4.3268555798077974	Suppressed in tumor
HALLMARK_ESTROGEN_RESPONSE_LATE	ESTROGEN_RESPONSE_LATE	-0.10437918841410318	4.6350510731113466e-4	9.270102146222692e-4	3.333945476050611	Suppressed in tumor
HALLMARK_FATTY_ACID_METABOLISM	FATTY_ACID_METABOLISM	-0.24183947652316695	2.8859599737591236e-6	8.016555482664231e-6	5.539709696560643	Suppressed in tumor
HALLMARK_G2M_CHECKPOINT	G2M_CHECKPOINT	0.5588796657650801	2.068703352472424e-16	5.17175838118106e-15	15.684301781746539	Activated in tumor
HALLMARK_GLYCOLYSIS	GLYCOLYSIS	0.12310002403913375	8.324357902920262e-4	0.00154154775980004	3.079649255716317	Activated in tumor
HALLMARK_HEDGEHOG_SIGNALING	HEDGEHOG_SIGNALING	-0.08043279326824544	0.05370441578133143	0.08137032694141126	1.2699900034881344	Not FDR-significant
HALLMARK_HEME_METABOLISM	HEME_METABOLISM	-0.03925397387893643	0.1987660045630685	0.26193151986063035	0.701657892037103	Not FDR-significant
HALLMARK_HYPOXIA	HYPOXIA	-0.15058953859364912	2.107741098937959e-4	4.582045867256433e-4	3.6761827360628936	Suppressed in tumor
HALLMARK_IL2_STAT5_SIGNALING	IL2_STAT5_SIGNALING	-0.15409708461912985	6.135333518450981e-4	0.00117987183047134	3.212161823925422	Suppressed in tumor
HALLMARK_IL6_JAK_STAT3_SIGNALING	IL6_JAK_STAT3_SIGNALING	-0.2082175067808925	2.6583004918889996e-4	5.538126024768749e-4	3.5753959283620382	Suppressed in tumor
HALLMARK_INFLAMMATORY_RESPONSE	INFLAMMATORY_RESPONSE	-0.2946487835730991	1.7368247258113805e-7	6.202945449326358e-7	6.760244006799717	Suppressed in tumor
HALLMARK_INTERFERON_ALPHA_RESPONSE	INTERFERON_ALPHA_RESPONSE	0.05730193618698582	0.45833803641659576	0.5208386777461316	0.3388141001621895	Not FDR-significant
HALLMARK_INTERFERON_GAMMA_RESPONSE	INTERFERON_GAMMA_RESPONSE	-0.08146246939881077	0.2304685665003295	0.2880857081254119	0.6373882994559608	Not FDR-significant
HALLMARK_KRAS_SIGNALING_DN	KRAS_SIGNALING_DN	-0.19100354008775336	1.0832486180776632e-6	3.1860253472872448e-6	5.9652718563315545	Suppressed in tumor
HALLMARK_KRAS_SIGNALING_UP	KRAS_SIGNALING_UP	-0.17416000159873257	1.0525006142950354e-4	2.392046850670535e-4	3.9777776420149866	Suppressed in tumor
HALLMARK_MITOTIC_SPINDLE	MITOTIC_SPINDLE	0.3651364144345528	1.4660607369273778e-11	1.0471862406624128e-10	10.833848037085065	Activated in tumor
HALLMARK_MTORC1_SIGNALING	MTORC1_SIGNALING	0.2374730923958559	6.465852915888944e-6	1.616463228972236e-5	5.189374178868345	Activated in tumor
HALLMARK_MYC_TARGETS_V1	MYC_TARGETS_V1	0.5690261888861936	5.717239017415432e-15	7.14654877176929e-14	14.242813651099574	Activated in tumor
HALLMARK_MYC_TARGETS_V2	MYC_TARGETS_V2	0.3982617536426084	4.153462116024174e-9	2.304247007000833e-8	8.381589746406567	Activated in tumor
HALLMARK_MYOGENESIS	MYOGENESIS	-0.18837494937263707	5.8086248660148946e-8	2.420260360839539e-7	7.235926670327079	Suppressed in tumor
HALLMARK_NOTCH_SIGNALING	NOTCH_SIGNALING	0.13322124272734898	0.01069424768055543	0.01670976200086787	1.9708497617867478	Activated in tumor
HALLMARK_OXIDATIVE_PHOSPHORYLATION	OXIDATIVE_PHOSPHORYLATION	0.02863194896881644	0.625382173663199	0.6797632322426076	0.20385450235442898	Not FDR-significant
HALLMARK_P53_PATHWAY	P53_PATHWAY	-0.04706567084748812	0.2263644157415688	0.2880857081254119	0.6451918427739427	Not FDR-significant
HALLMARK_PANCREAS_BETA_CELLS	PANCREAS_BETA_CELLS	-0.05102069405156454	0.19906795509407904	0.26193151986063035	0.7009986447736503	Not FDR-significant
HALLMARK_PEROXISOME	PEROXISOME	-0.00587915739519622	0.8995211642091452	0.8995211642091452	0.045988613984783856	Not FDR-significant
HALLMARK_PI3K_AKT_MTOR_SIGNALING	PI3K_AKT_MTOR_SIGNALING	0.22315070347767055	1.633130896377357e-7	6.202945449326358e-7	6.786979004916643	Activated in tumor
HALLMARK_PROTEIN_SECRETION	PROTEIN_SECRETION	0.33834842154555816	4.608494014001666e-9	2.304247007000833e-8	8.336440972281213	Activated in tumor
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	REACTIVE_OXYGEN_SPECIES_PATHWAY	0.04771453524353764	0.34016113527908853	0.4049537324751054	0.4683153077076533	Not FDR-significant
HALLMARK_SPERMATOGENESIS	SPERMATOGENESIS	0.0720831465042841	0.00795941503182679	0.01326569171971132	2.09911884906949	Activated in tumor
HALLMARK_TGF_BETA_SIGNALING	TGF_BETA_SIGNALING	0.01511103527140264	0.8053481010909118	0.8372165895219029	0.09401636099140055	Not FDR-significant
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TNFA_SIGNALING_VIA_NFKB	-0.31840413519127575	8.226036162022884e-7	2.5706363006321512e-6	6.0848093856446805	Suppressed in tumor
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	UNFOLDED_PROTEIN_RESPONSE	0.3582882702745366	4.046468321062942e-11	2.5290427006643384e-10	10.39292385525695	Activated in tumor
HALLMARK_UV_RESPONSE_DN	UV_RESPONSE_DN	-0.04672788654594792	0.35136920075842326	0.4085688380911899	0.4542363092234216	Not FDR-significant
HALLMARK_UV_RESPONSE_UP	UV_RESPONSE_UP	0.02167368469107636	0.5585804263003058	0.620644918111451	0.2529142868568307	Not FDR-significant
HALLMARK_WNT_BETA_CATENIN_SIGNALING	WNT_BETA_CATENIN_SIGNALING	0.3658213694356035	2.3816980244418893e-13	2.381698024441889e-12	12.623113303572062	Activated in tumor
HALLMARK_XENOBIOTIC_METABOLISM	XENOBIOTIC_METABOLISM	-0.3593077781697318	7.528734344803989e-12	6.273945287336659e-11	11.123278026889244	Suppressed in tumor
