model	score	formula	n	events	term	estimate	std.error	statistic	p.value	conf.low	conf.high	HR	conf_low	conf_high	p_value
Score only	ProlifHubScore	survival::Surv(time_months, event) ~ scale(ProlifHubScore)	369	130	scale(ProlifHubScore)	1.4392985280530453	0.09263847735737096	3.930935308863512	8.461603952581511e-5	1.200319513257112	1.7258573487940323	1.4392985280530453	1.200319513257112	1.7258573487940323	8.461603952581511e-5
Score only	HepLossScore	survival::Surv(time_months, event) ~ scale(HepLossScore)	369	130	scale(HepLossScore)	0.863047292970962	0.09743317968172938	-1.511659469799978	0.130620514350011	0.7130160760167059	1.0446477365077724	0.863047292970962	0.7130160760167059	1.0446477365077724	0.130620514350011
Score only	HCCStateScore	survival::Surv(time_months, event) ~ scale(HCCStateScore)	369	130	scale(HCCStateScore)	1.4277175021708413	0.10240500411842544	3.4771446942543114	5.06784244026138e-4	1.1680864497064545	1.7450568547535157	1.4277175021708413	1.1680864497064545	1.7450568547535157	5.06784244026138e-4
Age/sex adjusted	ProlifHubScore	survival::Surv(time_months, event) ~ scale(ProlifHubScore) +      age_tmp + gender_tmp	369	130	scale(ProlifHubScore)	1.4851611914375644	0.09558659833281596	4.137853210440495	3.5057052479663505e-5	1.2314311414586698	1.7911710125663372	1.4851611914375644	1.2314311414586698	1.7911710125663372	3.5057052479663505e-5
Age/sex adjusted	ProlifHubScore	survival::Surv(time_months, event) ~ scale(ProlifHubScore) +      age_tmp + gender_tmp	369	130	age_tmp	1.0154164167768018	0.00753495256296834	2.0303765770790148	0.04231827568070957	1.000530696314104	1.0305236043813977	1.0154164167768018	1.000530696314104	1.0305236043813977	0.04231827568070957
Age/sex adjusted	ProlifHubScore	survival::Surv(time_months, event) ~ scale(ProlifHubScore) +      age_tmp + gender_tmp	369	130	gender_tmpmale	0.9096147750874252	0.18710911476198777	-0.50630399966583	0.6126432556443218	0.6303618752845002	1.3125778564636676	0.9096147750874252	0.6303618752845002	1.3125778564636676	0.6126432556443218
Age/sex adjusted	HepLossScore	survival::Surv(time_months, event) ~ scale(HepLossScore) + age_tmp +      gender_tmp	369	130	scale(HepLossScore)	0.865538722793812	0.09794659608310602	-1.474305088356897	0.1403994657767908	0.7143551968774567	1.0487181781979205	0.865538722793812	0.7143551968774567	1.0487181781979205	0.1403994657767908
Age/sex adjusted	HepLossScore	survival::Surv(time_months, event) ~ scale(HepLossScore) + age_tmp +      gender_tmp	369	130	age_tmp	1.008909740207376	0.00714119148087605	1.2421292292182549	0.214188885763513	0.9948869210782786	1.0231302093931396	1.008909740207376	0.9948869210782786	1.0231302093931396	0.214188885763513
Age/sex adjusted	HepLossScore	survival::Surv(time_months, event) ~ scale(HepLossScore) + age_tmp +      gender_tmp	369	130	gender_tmpmale	0.8150900631925906	0.18593323424302757	-1.0996240972967142	0.2714959381995461	0.5661596873140381	1.1734707115358194	0.8150900631925906	0.5661596873140381	1.1734707115358194	0.2714959381995461
Age/sex adjusted	HCCStateScore	survival::Surv(time_months, event) ~ scale(HCCStateScore) + age_tmp +      gender_tmp	369	130	scale(HCCStateScore)	1.447855361629976	0.10438941215939554	3.5452197013253386	3.922859648420196e-4	1.179963979775338	1.7765670682589776	1.447855361629976	1.179963979775338	1.7765670682589776	3.922859648420196e-4
Age/sex adjusted	HCCStateScore	survival::Surv(time_months, event) ~ scale(HCCStateScore) + age_tmp +      gender_tmp	369	130	age_tmp	1.0119323524873407	0.00730118592176309	1.6246296683700572	0.10424149155764913	0.9975546565470976	1.026517273304129	1.0119323524873407	0.9975546565470976	1.026517273304129	0.10424149155764913
Age/sex adjusted	HCCStateScore	survival::Surv(time_months, event) ~ scale(HCCStateScore) + age_tmp +      gender_tmp	369	130	gender_tmpmale	0.853943905271686	0.18572905692024433	-0.8501080803542669	0.39526499959562544	0.5933848902313867	1.2289160127860743	0.853943905271686	0.5933848902313867	1.2289160127860743	0.39526499959562544
Age/sex/stage adjusted	ProlifHubScore	survival::Surv(time_months, event) ~ scale(ProlifHubScore) +      age_tmp + gender_tmp + stage_collapsed	173	74	scale(ProlifHubScore)	1.4391775678184568	0.12367015930073856	2.943893814224991	0.00324111180318384	1.129395754052721	1.8339293947931403	1.4391775678184568	1.129395754052721	1.8339293947931403	0.00324111180318384
Age/sex/stage adjusted	ProlifHubScore	survival::Surv(time_months, event) ~ scale(ProlifHubScore) +      age_tmp + gender_tmp + stage_collapsed	173	74	age_tmp	1.0017222246198263	0.00903179373825617	0.1905206586217691	0.8489011564147096	0.9841457754191354	1.019612582160339	1.0017222246198263	0.9841457754191354	1.019612582160339	0.8489011564147096
Age/sex/stage adjusted	ProlifHubScore	survival::Surv(time_months, event) ~ scale(ProlifHubScore) +      age_tmp + gender_tmp + stage_collapsed	173	74	gender_tmpmale	1.273531383407556	0.26234881876571037	0.9216495035155172	0.3567114279935438	0.7615491404515697	2.1297144181165373	1.273531383407556	0.7615491404515697	2.1297144181165373	0.3567114279935438
Age/sex/stage adjusted	ProlifHubScore	survival::Surv(time_months, event) ~ scale(ProlifHubScore) +      age_tmp + gender_tmp + stage_collapsed	173	74	stage_collapsedIV	3.6896743189531063	0.621168099359815	2.101747007060484	0.03557544345649318	1.0920657549008292	12.466004467998664	3.6896743189531063	1.0920657549008292	12.466004467998664	0.03557544345649318
Age/sex/stage adjusted	HepLossScore	survival::Surv(time_months, event) ~ scale(HepLossScore) + age_tmp +      gender_tmp + stage_collapsed	173	74	scale(HepLossScore)	0.8819746481881328	0.14729958409426672	-0.8526294742213586	0.3938648122479117	0.6608067468510498	1.177166068224058	0.8819746481881328	0.6608067468510498	1.177166068224058	0.3938648122479117
Age/sex/stage adjusted	HepLossScore	survival::Surv(time_months, event) ~ scale(HepLossScore) + age_tmp +      gender_tmp + stage_collapsed	173	74	age_tmp	0.9961842365656628	0.00840645394751992	-0.454777014885796	0.6492696679013921	0.9799052369263932	1.012733676467183	0.9961842365656628	0.9799052369263932	1.012733676467183	0.6492696679013921
Age/sex/stage adjusted	HepLossScore	survival::Surv(time_months, event) ~ scale(HepLossScore) + age_tmp +      gender_tmp + stage_collapsed	173	74	gender_tmpmale	1.1332602941617282	0.2552333457206739	0.4901346028910846	0.6240386536401304	0.6871865568469641	1.868894089279361	1.1332602941617282	0.6871865568469641	1.868894089279361	0.6240386536401304
Age/sex/stage adjusted	HepLossScore	survival::Surv(time_months, event) ~ scale(HepLossScore) + age_tmp +      gender_tmp + stage_collapsed	173	74	stage_collapsedIV	2.7342170781311657	0.6089062851533117	1.651888244771995	0.09855733488047784	0.8289551271119223	9.018513530871443	2.7342170781311657	0.8289551271119223	9.018513530871443	0.09855733488047784
Age/sex/stage adjusted	HCCStateScore	survival::Surv(time_months, event) ~ scale(HCCStateScore) + age_tmp +      gender_tmp + stage_collapsed	173	74	scale(HCCStateScore)	1.5075248126518577	0.15058590189393228	2.725813663774588	0.00641431984684726	1.122239412724145	2.0250857660081563	1.5075248126518577	1.122239412724145	2.0250857660081563	0.00641431984684726
Age/sex/stage adjusted	HCCStateScore	survival::Surv(time_months, event) ~ scale(HCCStateScore) + age_tmp +      gender_tmp + stage_collapsed	173	74	age_tmp	1.0000510802872928	0.00875401291323305	0.00583492202326463	0.9953444322216514	0.9830390138693678	1.017357550487494	1.0000510802872928	0.9830390138693678	1.017357550487494	0.9953444322216514
Age/sex/stage adjusted	HCCStateScore	survival::Surv(time_months, event) ~ scale(HCCStateScore) + age_tmp +      gender_tmp + stage_collapsed	173	74	gender_tmpmale	1.2360197580915864	0.26001547539890413	0.8149374343724824	0.4151081240401571	0.7425057807704306	2.057552792124503	1.2360197580915864	0.7425057807704306	2.057552792124503	0.4151081240401571
Age/sex/stage adjusted	HCCStateScore	survival::Surv(time_months, event) ~ scale(HCCStateScore) + age_tmp +      gender_tmp + stage_collapsed	173	74	stage_collapsedIV	3.3633278454072992	0.6164760607353822	1.9675231387843644	0.04912293101432595	1.004670912492244	11.259382604828255	3.3633278454072992	1.004670912492244	11.259382604828255	0.04912293101432595
